date,hour,USD_per_MWh,wind Hatchet MWh
1/11/2018,247,42.77012,7.68465
1/11/2018,248,45.46828,7.15663
1/11/2018,249,32.54041,1.46402
1/11/2018,250,25.75719,0.673009
1/11/2018,251,20.61593,0.642682
1/11/2018,252,17.52155,0.859655
1/11/2018,253,18.34509,1.25446
1/11/2018,254,18.55432,1.07752
1/11/2018,255,19.74762,0.763804
1/11/2018,256,28.43415,0.818274
1/11/2018,257,43.83834,0.949731
1/11/2018,258,52.74389,0.644219
1/11/2018,259,57.21021,0
1/11/2018,260,51.14447,0.747631
1/11/2018,261,49.81395,0.289518
1/11/2018,262,39.162,0
1/11/2018,263,32.71358,0.645737
1/11/2018,264,32.80521,0.689865
1/12/2018,265,29.5875,0
1/12/2018,266,26.57624,0.128165
1/12/2018,267,25.38682,0
1/12/2018,268,25.32372,0
1/12/2018,269,26.58688,0
1/12/2018,270,32.12255,0
1/12/2018,271,43.51256,0
1/12/2018,272,46.61921,0
1/12/2018,273,35.59939,0
1/12/2018,274,28.70499,0
1/12/2018,275,27.37864,0
1/12/2018,276,25.36017,0.46007
1/12/2018,277,20.90729,0.0721766
1/12/2018,278,21.15131,0
1/12/2018,279,27.17771,0
1/12/2018,280,32.35326,0.0986267
1/12/2018,281,45.94373,0.964755
1/12/2018,282,63.4387,1.25756
1/12/2018,283,55.30362,1.50551
1/12/2018,284,51.7047,0
1/12/2018,285,53.29952,0
1/12/2018,286,45.9739,0
1/12/2018,287,33.52516,0.981119
1/12/2018,288,31.27142,0
1/13/2018,289,33.76467,0
1/13/2018,290,31.38422,0.335125
1/13/2018,291,29.80869,1.45173
1/13/2018,292,30.09978,3.71043
1/13/2018,293,30.05108,6.2576
1/13/2018,294,31.50683,8.54717
1/13/2018,295,35.19504,12.03
1/13/2018,296,33.98144,7.89681
1/13/2018,297,28.24684,4.62663
1/13/2018,298,22.73141,1.36523
1/13/2018,299,20.23337,0
1/13/2018,300,19.79657,0
1/13/2018,301,18.70558,0
1/13/2018,302,19.72967,0
