date,hour,USD_per_MWh,wind Hatchet MWh
1/10/2018,218,21.26633,0
1/10/2018,219,20.20325,0
1/10/2018,220,20.2162,0
1/10/2018,221,22.56789,0
1/10/2018,222,25.6078,0
1/10/2018,223,34.73196,0
1/10/2018,224,40.84595,0
1/10/2018,225,29.91033,0
1/10/2018,226,25.515,0
1/10/2018,227,23.20011,0
1/10/2018,228,22.15337,0
1/10/2018,229,20.76118,0
1/10/2018,230,20.09141,0
1/10/2018,231,21.55707,0
1/10/2018,232,28.89493,0
1/10/2018,233,33.8446,0.335225
1/10/2018,234,43.41153,0.612814
1/10/2018,235,46.94935,0.367919
1/10/2018,236,43.69069,0.0186635
1/10/2018,237,44.19773,0.0700374
1/10/2018,238,35.09806,0.658074
1/10/2018,239,32.85946,1.24294
1/10/2018,240,29.11824,1.3009
1/11/2018,241,24.92607,0.923559
1/11/2018,242,22.82586,0.686214
1/11/2018,243,22.07828,0.249972
1/11/2018,244,22.26265,0
1/11/2018,245,23.25032,0
1/11/2018,246,30.17946,0
1/11/2018,247,38.26538,0
1/11/2018,248,44.33204,0
1/11/2018,249,32.90646,0
1/11/2018,250,28.0813,0
1/11/2018,251,24.04073,0
1/11/2018,252,21.3777,0
1/11/2018,253,21.21721,0
1/11/2018,254,21.90295,0
1/11/2018,255,22.54731,0
1/11/2018,256,30.2502,0
1/11/2018,257,36.31179,0
1/11/2018,258,45.54971,0
1/11/2018,259,50.2275,0
1/11/2018,260,40.84354,0.122763
1/11/2018,261,36.7761,0
1/11/2018,262,32.55818,0
1/11/2018,263,28.7203,0
1/11/2018,264,28.9589,0
1/12/2018,265,27.84094,0
1/12/2018,266,25.16898,0
1/12/2018,267,24.79817,0
1/12/2018,268,24.93729,0
1/12/2018,269,25.50644,0
1/12/2018,270,29.39946,0.0961684
1/12/2018,271,40.93478,0.246605
1/12/2018,272,47.09887,0.244086
1/12/2018,273,36.47236,0.477349
1/12/2018,274,29.73113,0.308459
1/12/2018,275,28.46679,0.331661
1/12/2018,276,26.35854,0
1/12/2018,277,23.47751,0
1/12/2018,278,24.00457,0
1/12/2018,279,28.57767,0
1/12/2018,280,32.71657,0
1/12/2018,281,40.58873,0.0989263
1/12/2018,282,54.99279,0.278138
1/12/2018,283,47.4049,0.312873
1/12/2018,284,42.13981,0.266373
1/12/2018,285,41.86955,0.114354
1/12/2018,286,37.01506,0
1/12/2018,287,33.3035,0
1/12/2018,288,30.91606,0
1/13/2018,289,33.68561,0
1/13/2018,290,31.20228,0
1/13/2018,291,29.7601,0
1/13/2018,292,29.98345,0
1/13/2018,293,29.99296,0
1/13/2018,294,31.36904,0
1/13/2018,295,34.98382,0
1/13/2018,296,34.13099,0
1/13/2018,297,29.07685,0
1/13/2018,298,23.77352,0
1/13/2018,299,21.23263,0
1/13/2018,300,20.78049,0
1/13/2018,301,19.61012,0
1/13/2018,302,20.65415,0
1/13/2018,303,21.99336,0
1/13/2018,304,29.424,0
1/13/2018,305,36.79304,0
1/13/2018,306,51.34085,0
1/13/2018,307,49.64013,0
1/13/2018,308,46.92905,0
1/13/2018,309,43.75563,0
1/13/2018,310,37.6858,0
1/13/2018,311,33.61196,0
1/13/2018,312,31.35855,0
1/14/2018,313,31.62389,0
1/14/2018,314,30.20077,0
1/14/2018,315,29.53051,0
1/14/2018,316,29.17769,0
1/14/2018,317,29.55866,0
1/14/2018,318,29.55502,0
1/14/2018,319,33.26748,0
1/14/2018,320,30.90144,0
1/14/2018,321,29.12129,0
1/14/2018,322,24.2404,0
1/14/2018,323,22.69774,0
1/14/2018,324,21.9102,0
1/14/2018,325,20.59331,0
1/14/2018,326,20.66946,0
1/14/2018,327,23.5391,0
1/14/2018,328,29.64548,0
1/14/2018,329,36.14025,0
1/14/2018,330,50.71075,0
1/14/2018,331,53.95033,0
1/14/2018,332,48.90837,0
1/14/2018,333,43.09696,0
1/14/2018,334,35.89141,0
1/14/2018,335,32.62755,0
1/14/2018,336,30.86935,0
1/15/2018,337,28.56113,0
1/15/2018,338,28.42259,0
1/15/2018,339,28.14038,0
1/15/2018,340,27.80979,0.0625248
1/15/2018,341,29.16345,0.108886
1/15/2018,342,30.59265,0.186607
1/15/2018,343,38.15303,0.0971247
1/15/2018,344,44.85329,0.0980544
1/15/2018,345,34.14465,0.423627
1/15/2018,346,29.74302,0.240724
1/15/2018,347,29.62864,0.0657957
1/15/2018,348,28.61296,0
1/15/2018,349,28.80289,0
1/15/2018,350,29.6126,0
1/15/2018,351,30.12901,0
1/15/2018,352,34.38823,0.815946
1/15/2018,353,41.70366,2.90154
1/15/2018,354,51.57516,5.66106
1/15/2018,355,49.89924,13.6
1/15/2018,356,48.91078,13.4591
1/15/2018,357,46.32279,11.817
1/15/2018,358,37.2177,10.8815
1/15/2018,359,34.2165,9.07607
1/15/2018,360,31.91498,8.65305
1/16/2018,361,29.02579,5.66036
1/16/2018,362,29.07888,4.23337
1/16/2018,363,28.13509,3.82438
1/16/2018,364,26.72825,3.7685
1/16/2018,365,28.72177,4.02478
1/16/2018,366,31.13235,6.07576
1/16/2018,367,40.60957,5.10185
1/16/2018,368,43.18421,2.88935
1/16/2018,369,36.00931,3.0881
1/16/2018,370,31.07082,2.97318
1/16/2018,371,29.49406,1.37666
1/16/2018,372,26.80399,0.992716
1/16/2018,373,26.73778,1.94314
1/16/2018,374,27.10294,1.80503
1/16/2018,375,28.76429,1.93434
1/16/2018,376,32.43715,1.41234
1/16/2018,377,38.96174,1.45072
1/16/2018,378,49.13139,2.10179
1/16/2018,379,48.96132,0.879229
1/16/2018,380,45.41246,1.49649
1/16/2018,381,43.67984,0.834358
1/16/2018,382,37.6375,0.607504
1/16/2018,383,33.73377,0.586162
1/16/2018,384,32.16135,0.292533
1/17/2018,385,29.97645,0.195425
1/17/2018,386,29.34451,0
1/17/2018,387,29.01269,0
1/17/2018,388,29.00227,0
1/17/2018,389,29.51587,0
1/17/2018,390,34.5621,0
1/17/2018,391,44.87947,0
1/17/2018,392,46.35785,0
1/17/2018,393,33.64548,0
1/17/2018,394,28.93796,0
1/17/2018,395,25.25238,0
1/17/2018,396,24.29931,0
1/17/2018,397,23.37785,0
1/17/2018,398,24.1501,0
1/17/2018,399,24.85366,0
1/17/2018,400,32.67964,0
1/17/2018,401,38.13704,0
1/17/2018,402,49.73632,0
1/17/2018,403,48.33575,0
1/17/2018,404,43.35917,0
1/17/2018,405,42.40952,0
1/17/2018,406,39.47195,0
1/17/2018,407,36.15642,0
1/17/2018,408,34.37182,0
1/18/2018,409,29.06015,0
1/18/2018,410,27.52122,0
1/18/2018,411,27.08944,0
1/18/2018,412,25.94583,0
1/18/2018,413,27.7214,0
1/18/2018,414,34.67243,0
1/18/2018,415,45.98907,0
1/18/2018,416,47.27795,0
